"ID"	"CLONEID"	"GSE22133_hitBLAT"	"GSE22133_geneSymbol"	"GSE22133_description"
"417"	"H200006566"	"NM_002851"	"PTPRZ1"	"PTPRZ1 : protein tyrosine phosphatase, receptor-type,"
"418"	"H200007350"	"NM_012452"	"TNFRSF13B"	"TNFRSF13B : tumor necrosis factor receptor 13B"
"419"	"H200006590"	"NM_000709"	"BCKDHA"	"BCKDHA : branched chain keto acid dehydrogenase E1, alpha"
"420"	"H200007374"	"NM_015904"	"EIF5B"	"EIF5B : eukaryotic translation initiation factor 5B"
"423"	"H200006638"	"NM_005429"	"VEGFC"	"VEGFC : vascular endothelial growth factor C"
"424"	"H200007700"	"NM_006231"	"POLE"	"POLE : DNA polymerase epsilon catalytic subunit"
"425"	"H200006940"	"NM_001747"	"CAPG"	"CAPG : gelsolin-like capping protein"
"429"	"H200006988"	"NM_139156"	"AMPD2"	"AMPD2 : adenosine monophosphate deaminase 2 (isoform L)"
"431"	"H200007012"	"NM_001760"	"CCND3"	"CCND3 : cyclin D3"
"432"	"H200007706"	"NM_005245"	"FAT"	"FAT : FAT tumor suppressor 1 precursor"
"433"	"H200006946"	"NM_019001"	"XRN1"	"XRN1 : 5'-3' exoribonuclease 1 isoform a"
"435"	"H200006970"	"uc004dwz.1"	"U79272"	"U79272 : Homo sapiens cDNA: FLJ23326 fis, clone HEP12573."
"437"	"H200006994"	"NM_004579"	"MAP4K2"	"MAP4K2 : mitogen-activated protein kinase kinase kinase"
"439"	"H200007018"	"NM_021077"	"NMB"	"NMB : neuromedin B isoform 1"
"440"	"H200008080"	"NM_016607"	"ARMCX3"	"ARMCX3 : armadillo repeat containing, X-linked 3"
"443"	"H200004714"	"NM_017707"	"DDEFL1"	"DDEFL1 : development and differentiation enhancing"
"445"	"H200004738"	"NM_024638"	"QTRTD1"	"QTRTD1 : queuine tRNA-ribosyltransferase domain"
"447"	"H200005040"	"NM_005894"	"CD5L"	"CD5L : CD5 antigen-like (scavenger receptor cysteine"
"449"	"H200005064"	"NM_006859"	"LIAS"	"LIAS : lipoic acid synthetase isoform 1 precursor"
"452"	"H200005872"	"NM_002830"	"PTPN4"	"PTPN4 : protein tyrosine phosphatase, non-receptor type"
"455"	"H200005046"	"NM_012453"	"TBL2"	"TBL2 : transducin (beta)-like 2"
"459"	"H200005094"	"NM_000352"	"ABCC8"	"ABCC8 : ATP-binding cassette, sub-family C, member 8"
"461"	"H200005118"	"NM_021219"	"JAM2"	"JAM2 : junctional adhesion molecule 2 precursor"
"462"	"H200006180"	"NM_004766"	"COPB2"	"COPB2 : coatomer protein complex, subunit beta 2 (beta"
"463"	"H200005420"	"NM_022776"	"OSBPL11"	"OSBPL11 : oxysterol-binding protein-like protein 11"
"464"	"H200006204"	"NM_004563"	"PCK2"	"PCK2 : mitochondrial phosphoenolpyruvate carboxykinase"
"465"	"H200005444"	"uc004dba.1"	"KLHL15"	"KLHL15 : kelch-like 15"
"467"	"H200005468"	"NM_018992"	"KCTD5"	"KCTD5 : potassium channel tetramerisation domain"
"468"	"H200006252"	"NM_004393"	"DAG1"	"DAG1 : dystroglycan 1 precursor"
"469"	"H200005492"	"NM_144569"	"SPOCD1"	"SPOCD1 : SPOC domain containing 1"
"473"	"H200005450"	"NM_148177"	"FBXO32"	"FBXO32 : F-box only protein 32 isoform 2"
"475"	"H200005474"	"NM_001042537"	"SLC9A6"	"SLC9A6 : solute carrier family 9 (sodium/hydrogen"
"476"	"H200006258"	"NM_133504"	"DCN"	"DCN : decorin isoform b precursor"
"478"	"H200003930"	"NM_145257"	"C1orf96"	"C1orf96 : hypothetical protein LOC126731"
"479"	"H200003170"	"NM_018164"	"C12orf11"	"C12orf11 : hypothetical protein LOC55726"
"480"	"H200003954"	"NM_053043"	"PRR8"	"PRR8 : proline rich 8"
"481"	"H200003194"	"NM_014520"	"MYBBP1A"	"MYBBP1A : MYB binding protein 1a"
"485"	"H200003520"	"NM_019009"	"TOLLIP"	"TOLLIP : toll interacting protein"
"486"	"H200004304"	"NM_053279"	"C8orf13"	"C8orf13 : hypothetical protein LOC83648"
"487"	"H200003544"	"NM_001348"	"DAPK3"	"DAPK3 : death-associated protein kinase 3"
"488"	"H200004328"	"NM_024320"	"ATAD4"	"ATAD4 : ATPase family, AAA domain containing 4"
"489"	"H200003568"	"NM_005857"	"ZMPSTE24"	"ZMPSTE24 : zinc metalloproteinase STE24"
"492"	"H200004286"	"NM_001017415"	"USP1"	"USP1 : ubiquitin specific protease 1"
"494"	"H200004310"	"NM_002501"	"NFIX"	"NFIX : nuclear factor I/X (CCAAT-binding transcription"
"496"	"H200004334"	"NM_000204"	"CFI"	"CFI : complement factor I"
"497"	"H200003574"	"NM_004638"	"BAT2"	"BAT2 : HLA-B associated transcript-2 isoform b"
"499"	"H200003598"	"NM_001039675"	"UNC45A"	"UNC45A : smooth muscle cell associated protein-1 isoform"
"501"	"H200003900"	"NM_007216"	"HPS5"	"HPS5 : Hermansky-Pudlak syndrome 5 isoform b"
"502"	"H200004684"	"NM_018965"	"TREM2"	"TREM2 : triggering receptor expressed on myeloid cells"
"504"	"H200004708"	"NM_002687"	"PNN"	"PNN : pinin, desmosome associated protein"
"505"	"H200003948"	"NM_024613"	"PLEKHF2"	"PLEKHF2 : phafin 2"
"506"	"H200004732"	"NM_024637"	"GAL3ST4"	"GAL3ST4 : galactose-3-O-sulfotransferase 4"
"507"	"H200003972"	"NM_000112"	"SLC26A2"	"SLC26A2 : solute carrier family 26 member 2"
"508"	"H200004666"	"NM_018222"	"PARVA"	"PARVA : parvin, alpha"
"509"	"H200003906"	"NM_002401"	"MAP3K3"	"MAP3K3 : mitogen-activated protein kinase kinase kinase 3"
"510"	"H200004690"	"NM_022449"	"RAB17"	"RAB17 : RAB17, member RAS oncogene family"
"511"	"H200001668"	"NM_181866"	"ACOT7"	"ACOT7 : acyl-CoA thioesterase 7 isoform hBACHd"
"512"	"H200002452"	"NM_020319"	"ANKMY2"	"ANKMY2 : ankyrin repeat and MYND domain containing 2"
"515"	"H200001626"	"NM_145071"	"CISH"	"CISH : cytokine-inducible SH2-containing protein"
"516"	"H200002410"	"NM_014384"	"ACAD8"	"ACAD8 : acyl-Coenzyme A dehydrogenase family, member 8"
"518"	"H200002434"	"NM_206853"	"QKI"	"QKI : quaking homolog, KH domain RNA binding isoform"
"520"	"H200002458"	"NM_148173"	"PEMT"	"PEMT : phosphatidylethanolamine N-methyltransferase"
"521"	"H200001698"	"NM_001007024"	"GOSR1"	"GOSR1 : golgi SNAP receptor complex member 1 isoform 3"
"524"	"H200002784"	"NM_020762"	"SRGAP1"	"SRGAP1 : SLIT-ROBO Rho GTPase-activating protein 1"
"526"	"H200002808"	"NM_002492"	"NDUFB5"	"NDUFB5 : NADH dehydrogenase (ubiquinone) 1 beta"
"527"	"H200002048"	"NM_014400"	"LYPD3"	"LYPD3 : GPI-anchored metastasis-associated protein"
"529"	"H200002072"	"NM_018127"	"ELAC2"	"ELAC2 : elaC homolog 2"
"530"	"H200002766"	"NM_001042355"	"CYLD"	"CYLD : ubiquitin carboxyl-terminal hydrolase CYLD"
"531"	"H200002006"	"NM_004768"	"SFRS11"	"SFRS11 : splicing factor, arginine/serine-rich 11"
"532"	"H200002790"	"NM_014824"	"FCHSD2"	"FCHSD2 : FCH and double SH3 domains 2"
"536"	"H200002838"	"NM_005001"	"NDUFA7"	"NDUFA7 : NADH dehydrogenase (ubiquinone) 1 alpha"
"537"	"H200002078"	"NM_021203"	"SRPRB"	"SRPRB : signal recognition particle receptor, beta"
"538"	"H200003140"	"NM_020531"	"C20orf3"	"C20orf3 : chromosome 20 open reading frame 3"
"539"	"H200002380"	"NM_002163"	"IRF8"	"IRF8 : interferon regulatory factor 8"
"540"	"H200003164"	"uc002tjp.1"	"DKFZp686E10196"	"DKFZp686E10196 : Homo sapiens cDNA FLJ31490 fis, clone NT2NE2003393."
"541"	"H200002404"	"NM_001214"	"C16orf3"	"C16orf3 : hypothetical protein LOC750"
"544"	"H200003212"	"NM_012261"	"C20orf103"	"C20orf103 : chromosome 20 open reading frame 103 precursor"
"545"	"H200000100"	"NM_000911"	"OPRD1"	"OPRD1 : opioid receptor, delta 1"
"547"	"H200000124"	"NM_001674"	"ATF3"	"ATF3 : activating transcription factor 3 isoform 1"
"549"	"H200000148"	"NM_000384"	"APOB"	"APOB : apolipoprotein B precursor"
"550"	"H200000932"	"NM_006703"	"NUDT3"	"NUDT3 : nudix-type motif 3"
"551"	"H200000172"	"NM_000100"	"CSTB"	"CSTB : cystatin B"
"553"	"H200000106"	"NM_001124"	"ADM"	"ADM : adrenomedullin"
"556"	"H200000914"	"NM_003681"	"PDXK"	"PDXK : pyridoxal kinase"
"557"	"H200000154"	"NM_002306"	"LGALS3"	"LGALS3 : galectin 3"
"559"	"H200000178"	"NM_003250"	"THRA"	"THRA : thyroid hormone receptor, alpha isoform 2"
"564"	"H200001288"	"NM_004870"	"MPDU1"	"MPDU1 : mannose-P-dolichol utilization defect 1"
"565"	"H200000528"	"NM_000373"	"UMPS"	"UMPS : uridine monophosphate synthase"
"566"	"H200001312"	"NM_022735"	"ACBD3"	"ACBD3 : acyl-Coenzyme A binding domain containing 3"
"567"	"H200000552"	"NM_000760"	"CSF3R"	"CSF3R : colony stimulating factor 3 receptor isoform a"
"568"	"H200001246"	"NM_021937"	"EEFSEC"	"EEFSEC : eukaryotic elongation factor,"
"570"	"H200001270"	"NM_004522"	"KIF5C"	"KIF5C : kinesin family member 5C"
"572"	"H200001294"	"NM_030792"	"GDPD5"	"GDPD5 : glycerophosphodiester phosphodiesterase domain"
"576"	"H200001620"	"NM_020198"	"CCDC47"	"CCDC47 : coiled-coil domain containing 47"
"577"	"H200000860"	"NM_175039"	"ST6GALNAC4"	"ST6GALNAC4 : sialyltransferase 7D isoform a"
"612"	"H200008128"	"NM_014633"	"CTR9"	"CTR9 : SH2 domain binding protein 1"
"1159"	"H300003509"	"uc001ztu.1"	"BC042851"	"BC042851 : Homo sapiens cDNA FLJ35228 fis, clone PROST2001283."
"1165"	"H300005066"	"uc002coh.1"	"NPW"	"NPW : Neuropeptide W precursor (Preproprotein L8) (hPPL8) [Contains: Neuropeptide W-23 (NPW23) (hL8); Neuropeptide W-30 (NPW30) (hL8C)]."
"1169"	"H300021541"	"NM_153813"	"ZFPM1"	"ZFPM1 : zinc finger protein, multitype 1"
"1170"	"H300006339"	"NM_001010877"	"ZNF311"	"ZNF311 : zinc finger protein 311"
"1183"	"H300004583"	"uc003mwn.1"	"AK094934"	"AK094934 : Homo sapiens cDNA FLJ37615 fis, clone BRCOC2011996."
"1188"	"H200003241"	"NM_003492"	"TMEM187"	"TMEM187 : transmembrane protein 187"
"1190"	"H200011269"	"NM_001381"	"DOK1"	"DOK1 : docking protein 1"
"1196"	"H300004656"	"uc003gmw.1"	"BC035722"	"BC035722 : Homo sapiens cDNA FLJ39049 fis, clone NT2RP7011132."
"1205"	"H300007321"	"NM_001002901"	"FCRLM2"	"FCRLM2 : Fc receptor-like and mucin-like 2"
"1210"	"H300009628"	"NM_014638"	"PLCH2"	"PLCH2 : phospholipase C-like 4"
"1224"	"H300004709"	"NM_000837"	"GRINA"	"GRINA : glutamate receptor, ionotropic, N-methyl"
"1232"	"H300021221"	"NM_130771"	"OSCAR"	"OSCAR : osteoclast-associated receptor isoform 3"
"1237"	"H300009342"	"NM_001008949"	"KIAA1754L"	"KIAA1754L : hypothetical protein LOC150771 isoform 2"
"1244"	"H300007677"	"NM_018263"	"ASXL2"	"ASXL2 : additional sex combs like 2"
"1249"	"H300004661"	"NM_199181"	"C20orf117"	"C20orf117 : hypothetical protein LOC140710"
"1251"	"H300001916"	"NM_198525"	"KIF7"	"KIF7 : kinesin family member 7"
"1254"	"H300020905"	"NM_017733"	"PIGG"	"PIGG : GPI7 protein"
"1259"	"H200021143"	"NM_152734"	"C6orf89"	"C6orf89 : hypothetical protein LOC221477"
"1266"	"H300010751"	"uc001uvk.1"	"BC037403"	"BC037403 : Homo sapiens cDNA FLJ29024 fis, clone PRS01381."
"1270"	"H300007791"	"NM_139283"	"PPTC7"	"PPTC7 : T-cell activation protein phosphatase 2C"
"1272"	"H300005924"	"NM_152444"	"ZADH1"	"ZADH1 : zinc binding alcohol dehydrogenase, domain"
"1276"	"H300006357"	"NM_207325"	"DPY19L3"	"DPY19L3 : dpy-19-like 3"
"1286"	"H300008261"	"NM_194282"	"DKFZp686L1814"	"DKFZp686L1814 : lin-54 homolog"
"1287"	"H300008556"	"uc001qrz.1"	"C12orf57"	"C12orf57 : C10 protein"
"1294"	"H200020359"	"NM_145806"	"ZNF511"	"ZNF511 : zinc finger protein 511"
"1297"	"H200019623"	"NM_006532"	"ELL"	"ELL : elongation factor RNA polymerase II"
"1311"	"H200019979"	"NM_032538"	"TTBK1"	"TTBK1 : tau tubulin kinase 1"
"1326"	"H200021119"	"uc001lsv.1"	"MUC6"	"MUC6 : Homo sapiens cDNA FLJ35214 fis, clone PROST1000512, highly similar to Homo sapiens secretory mucin MUC6 (MUC6) mRNA."
"1327"	"H200017729"	"NM_001085400"	"RELL1"	"RELL1 : N/A"
"1330"	"H200018815"	"NM_198542"	"MGC4728"	"MGC4728 : zinc finger protein 419B"
"1333"	"H200018079"	"uc002jyx.1"	"AF258550"	"AF258550 : Homo sapiens clone PP552 unknown mRNA."
"1334"	"H200018863"	"NM_032522"	"ZBTB37"	"ZBTB37 : zinc finger and BTB domain containing 37"
"1336"	"H200018887"	"NM_025126"	"RNF34"	"RNF34 : ring finger protein 34 isoform 2"
"1346"	"H200019195"	"uc001vsp.1"	"BC080517"	"BC080517 : Homo sapiens hypothetical protein MGC2780, mRNA (cDNA clone IMAGE:2959703), **** WARNING: chimeric clone ****."
"1362"	"H200016945"	"NM_020845"	"PITPNM2"	"PITPNM2 : phosphatidylinositol transfer protein,"
"1364"	"H200016969"	"NM_006364"	"SEC23A"	"SEC23A : SEC23-related protein A"
"1367"	"H200016233"	"NM_005524"	"HES1"	"HES1 : hairy and enhancer of split 1"
"1368"	"H200017295"	"NM_006076"	"HRBL"	"HRBL : HIV-1 Rev-binding protein-like protein"
